Medij,Sigurni protokol,Hosting,Put podataka,Posrednički servisi,Politike privatnosti,Rukovalac,Vrste podataka,Svrha,Pravni osnov,Rok obrade,Deljenje podataka,Treća strana,Izvoz podataka,Prava korisnika,Kontakt,Transparentnost,Politike kolačića,Trekeri na sajtu,Marketinški kolačići,Kolačići trećih strana,Fejsbuk piksel,Gugl analitika,Intruzivni trekeri,Trekeri na Android aplikaciji,Intruzivne dozvole na Android aplikaciji,Podaci u iOS aplikaciji,Registracija,Minimizacija podataka,Etički kodeks,Total
Kruševac press,9,2,2,2,3,1,2,2,2,2,2,2,2,2,1,9,10,2,3,3,1,0,5,3,2,5,5,5,10,99
Moj Bečej,9,2,1,1,3,1,2,2,2,2,2,2,2,2,1,9,10,2,3,3,1,1,5,3,2,5,5,5,10,98
Magločistač,9,2,2,2,3,1,2,2,2,2,2,2,2,2,1,9,2,2,3,3,1,0,5,3,2,5,5,5,10,91
Jugpress,9,2,2,2,3,1,2,2,2,2,2,2,2,2,1,9,2,2,3,3,1,0,5,3,2,5,5,5,10,91
Ozon press,9,2,2,2,3,1,2,2,2,2,2,2,2,2,1,9,2,2,3,3,0,0,5,3,2,5,5,5,7,87
Bizlife,9,2,2,2,3,1,2,2,2,2,2,2,2,1,1,9,2,1,2,3,0,0,5,3,2,5,5,5,10,87
Autonomija,9,0,1,1,3,1,2,2,2,0,2,2,2,2,1,9,2,2,3,3,1,1,5,3,2,5,5,5,10,86
Kolubarske,9,2,1,1,3,1,2,2,2,2,2,2,2,2,1,9,2,2,3,3,1,1,0,3,2,5,5,5,10,85
IST media,9,0,1,1,3,1,2,2,2,2,2,2,2,2,1,9,2,2,3,3,1,1,5,2,0,5,5,5,10,85
Mozzart sport,9,2,1,1,3,1,2,2,2,2,2,2,2,2,1,9,10,2,3,3,0,0,0,1,0,2,5,5,10,84
Danas,9,2,2,2,3,1,2,2,2,2,2,2,1,2,1,9,2,2,3,3,0,0,5,2,1,0,5,5,10,82
Radio 021,9,2,2,2,3,1,2,2,2,0,2,2,2,2,1,9,2,1,2,2,0,1,5,3,2,5,0,5,10,81
Info Vranjske,9,2,2,2,3,0,2,2,0,0,2,0,0,0,0,0,10,2,3,3,1,1,5,3,2,5,5,5,10,79
Srbija danas,9,2,2,2,3,0,2,2,2,2,2,2,0,2,1,9,2,1,2,2,0,0,0,1,2,5,5,5,10,77
013 info,9,0,1,1,3,1,1,2,1,1,2,1,2,2,1,0,2,2,3,3,1,0,5,3,2,5,5,5,10,74
N1,9,0,2,2,3,1,2,2,2,1,2,2,1,0,1,4,10,1,2,2,0,0,0,2,1,5,5,5,7,74
Niške vesti,9,2,1,2,3,0,2,2,0,2,1,1,0,1,0,4,2,2,3,3,0,1,5,2,1,5,5,5,10,74
Nova,9,0,2,2,3,1,2,2,2,1,2,1,0,0,0,4,10,1,2,2,0,0,0,2,0,5,5,5,10,73
Večernje novosti,9,2,2,2,3,1,2,2,1,1,1,1,0,1,1,4,2,1,2,3,0,0,5,2,2,5,5,5,7,72
RTV Pančevo,9,2,2,2,3,0,1,0,0,0,1,1,0,0,0,0,2,2,3,3,1,1,5,3,2,5,5,5,10,68
Dnevnik,9,2,2,2,3,0,1,2,0,0,2,1,0,0,0,0,2,2,3,3,1,0,5,2,1,5,5,5,10,68
Užice media,9,2,2,2,3,0,1,0,0,0,1,0,0,0,0,0,2,2,3,3,0,1,5,3,2,5,5,5,10,66
B92,9,2,2,2,3,1,2,2,2,2,2,2,2,2,1,9,2,0,1,1,0,0,0,1,1,0,5,0,10,66
ZA media,9,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,64
Telegraf,9,2,2,2,3,1,2,2,2,1,2,2,2,2,1,4,2,0,1,0,0,0,0,1,1,5,5,5,4,63
Noizz,9,1,1,2,3,1,1,2,2,1,2,1,2,1,1,0,2,1,2,2,0,0,0,0,1,5,5,5,10,63
Insajder,9,0,1,1,3,1,1,1,0,0,1,0,0,1,0,4,0,2,3,3,0,0,5,1,1,5,5,5,10,63
NG portal,9,0,1,1,3,0,1,1,0,0,1,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,62
TV Zona plus,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,60
Bujanovačke,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,5,3,2,5,5,5,10,60
Pressek,0,2,2,2,3,0,2,2,2,2,0,0,0,0,1,4,0,2,3,3,0,0,5,3,2,5,0,5,10,60
Bor 030,9,0,1,1,3,0,1,1,0,0,1,0,0,0,0,0,0,2,3,3,0,0,5,3,2,5,5,5,10,60
RTS,9,2,2,2,3,0,1,2,0,0,0,0,0,0,0,0,0,2,3,3,1,0,5,1,1,2,5,5,10,59
Informer,9,2,2,2,3,1,2,2,1,1,2,1,0,1,1,0,2,1,1,2,0,0,5,1,2,5,5,5,0,59
Kragujevac danas,9,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,5,3,2,5,5,5,10,58
Espreso,9,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,5,1,2,2,5,5,10,58
Objektiv,9,0,1,1,3,0,2,2,1,0,2,2,0,0,0,4,2,0,1,0,0,0,0,1,0,5,5,5,10,56
Brif,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,56
Mondo,9,0,1,1,3,0,1,1,1,0,0,0,0,0,0,0,2,2,3,3,0,0,5,1,0,2,5,5,10,55
Zoomer,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,3,0,0,5,3,2,5,5,5,10,55
Pirotske vesti,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,0,3,2,5,5,5,10,54
Oblakoder,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,5,2,2,5,0,5,10,53
Južne vesti,9,0,1,1,3,0,1,1,0,0,1,1,0,0,0,0,0,1,2,3,0,0,5,2,1,0,5,5,10,52
Direktno,9,2,2,2,3,0,2,1,0,0,0,0,0,0,0,4,2,0,1,0,0,0,5,2,1,0,5,0,10,51
Kurir,9,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,5,1,2,2,5,5,0,49
