Medij,Sigurni protokol,Hosting,Put podataka,Posrednički servisi,Politike privatnosti,Rukovalac,Vrste podataka,Svrha,Pravni osnov,Rok obrade,Deljenje podataka,Treća strana,Izvoz podataka,Prava korisnika,Kontakt,Transparentnost,Politike kolačića,Trekeri na sajtu,Marketinški kolačići,Kolačići trećih strana,Fejsbuk piksel,Gugl analitika,Intruzivni trekeri,Trekeri na Android aplikaciji,Intruzivne dozvole na Android aplikaciji,Podaci u iOS aplikaciji,Registracija,Minimizacija podataka,Etički kodeks,Total
RTV Pančevo,9,2,2,2,3,0,1,0,0,0,1,1,0,0,0,0,2,2,3,3,1,1,5,3,2,5,5,5,10,68
Užice media,9,2,2,2,3,0,1,0,0,0,1,0,0,0,0,0,2,2,3,3,0,1,5,3,2,5,5,5,10,66
Info Vranjske,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,3,1,1,5,3,2,5,5,5,10,64
Kurir,9,2,2,2,3,1,2,2,2,2,2,2,2,2,1,4,2,1,3,2,1,0,0,1,2,2,5,5,0,64
NG portal,9,0,2,2,3,0,1,1,0,0,1,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,64
ZA media,9,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,64
Insajder,9,0,2,2,3,1,1,1,0,0,1,0,0,1,1,4,0,2,3,3,0,1,0,1,1,5,5,5,10,62
Nova,9,0,2,2,3,1,2,2,2,1,2,1,0,0,0,4,6,0,0,0,0,1,0,2,0,2,5,5,10,62
TV Zona plus,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,60
Zoomer,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,3,0,1,5,3,2,5,0,5,10,60
Južne vesti,9,0,2,2,3,0,1,0,0,0,1,1,0,0,0,0,2,2,3,3,1,1,5,2,1,0,5,5,10,59
Pirotske vesti,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,3,1,1,0,3,2,5,5,5,10,59
Republika,9,2,2,2,3,0,2,2,2,1,2,1,0,0,0,0,2,1,1,1,0,1,5,2,2,2,5,5,4,59
Bujanovačke,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,5,3,2,5,5,5,10,58
Pink,9,2,2,2,3,0,2,1,0,0,1,1,0,0,0,0,2,1,1,2,1,1,5,2,1,5,5,5,4,58
Pištaljka,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,5,2,1,5,5,5,10,55
Oblakoder,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,1,5,3,2,5,0,5,10,54
Informer,9,2,2,2,3,1,2,2,1,1,2,1,0,2,1,0,2,1,2,2,0,0,0,1,2,2,5,5,0,53
Blic,9,1,1,2,3,1,2,2,2,1,2,1,2,2,1,0,2,1,2,1,0,1,0,0,1,2,5,5,0,52
Alo,9,2,2,2,3,0,1,1,0,1,2,1,0,0,0,0,2,1,3,2,0,0,0,2,2,5,5,5,0,51
Direktno,9,2,2,2,3,1,1,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,5,2,1,5,0,0,10,50
Politika,9,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,1,5,2,1,5,5,0,4,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
